asset_id,asset_type,title,source_memory_refs,german_memory_refs,n_conditions,n_addr_relocated,status,exception
81677,achievement,Saved a Trip to the Islands!,"0xd35d,0xd737","0xd362,0xd73c",3,3,RELOCATED,
81678,achievement,The Real Number One,"0xd35d,0xd736","0xd362,0xd73b",3,3,RELOCATED,
4450,achievement,Gotta Catch 'em All - Yellow,"0xd2f6,0xd2f7,0xd2f8,0xd2f9,0xd2fa,0xd2fb,0xd2fc,0xd2fd,0xd2fe,0xd2ff,0xd300,0xd301,0xd302,0xd303,0xd304,0xd305,0xd306,0xd307,0xd308","0xd2fb,0xd2fc,0xd2fd,0xd2fe,0xd2ff,0xd300,0xd301,0xd302,0xd303,0xd304,0xd305,0xd306,0xd307,0xd308,0xd309,0xd30a,0xd30b,0xd30c,0xd30d",172,188,RELOCATED,
81680,achievement,Who Needs Flash?,"0xc026,0xd357,0xd35a,0xd35c,0xd35d,0xd360","0xc026,0xd35c,0xd35f,0xd361,0xd362,0xd365",29,26,RELOCATED,
81675,achievement,Safari Perfectionist,"0xc026,0xcfc3,0xd35d,0xd360,0xd361,0xd70c,0xfff5","0xc026,0xcfc8,0xd362,0xd365,0xd366,0xd711,0xfff5",12,9,RELOCATED,
81681,achievement,The Long Way Gauntlet,"0xc026,0xd35d,0xd7d6,0xd7d7,0xd7d8,0xd7d9,0xd7da,0xd7db,0xd7dc,0xd7dd","0xc026,0xd362,0xd7db,0xd7dc,0xd7dd,0xd7de,0xd7df,0xd7e0,0xd7e1,0xd7e2",47,82,RELOCATED,
4449,achievement,That's Shocking!,"0xd162,0xd163,0xd172,0xd173,0xd174,0xd175,0xd862,0xd863,0xd864,0xd865,0xd866","0xd167,0xd168,0xd177,0xd178,0xd179,0xd17a,0xd867,0xd868,0xd869,0xd86a,0xd86b",12,16,RELOCATED,
81795,achievement,A N G E R Y,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81796,achievement,Smug Little Rat,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81797,achievement,You're lucky I'm feeling generous today,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81798,achievement,Look at me when I'm talking to you!,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81799,achievement,Ear Twitches,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81800,achievement,"Not Mad, Just Disappointed","0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81801,achievement,Angry Ear Twitches,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81802,achievement,Friendly Pikachu,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81803,achievement,So Happy,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81804,achievement,Happier Pikachu,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81805,achievement,High Five!,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81806,achievement,Depressed Pikachu,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81807,achievement,Cheery Mood,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81808,achievement,Hug Me!,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81809,achievement,Pikachu Loves Me!,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81810,achievement,Really Loves Me!,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81811,achievement,Best Friends Forever,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81812,achievement,Just Like Ash,"0xd450,0xd46f,0xd470","0xd455,0xd474,0xd475",6,6,RELOCATED,
81813,achievement,Gotta Catch em',0xd450,0xd455,2,2,RELOCATED,
81814,achievement,Buckethead,0xd450,0xd455,2,2,RELOCATED,
81815,achievement,No need for the B Button,0xd450,0xd455,2,2,RELOCATED,
81816,achievement,Signature Move,0xd450,0xd455,2,2,RELOCATED,
81817,achievement,Just Give Me 5 More Minutes,"0xc026,0xd450","0xc026,0xd455",3,2,RELOCATED,
81818,achievement,Better Bring Full Heal,0xd450,0xd455,2,2,RELOCATED,
81819,achievement,Jigglypuff Used Sing,"0xd35d,0xd450","0xd362,0xd455",3,3,RELOCATED,
81820,achievement,Scared of Ghosts,0xd450,0xd455,2,2,RELOCATED,
81976,achievement,Surprised Pikachu Face,"0xd35d,0xd450","0xd362,0xd455",3,3,RELOCATED,
81977,achievement,Clefairy Used Attract,"0xc2f4,0xc2f5,0xd35d,0xd360,0xd361,0xd450","0xc2f4,0xc2f5,0xd362,0xd365,0xd366,0xd455",7,5,RELOCATED,
81978,achievement,You're Not Getting Away from Me That Easily,"0xc4e1,0xc4e2,0xc4e3,0xc4e4,0xc4e5,0xc4e6,0xc4e7,0xc4e8,0xc4e9,0xc4ea,0xc4eb,0xc4ec,0xc4ed,0xc4ee,0xc4ef,0xc4f0,0xc4f1,0xccd3","0xc4e1,0xc4e2,0xc4e3,0xc4e4,0xc4e5,0xc4e6,0xc4e7,0xc4e8,0xc4e9,0xc4ea,0xc4eb,0xc4ec,0xc4ed,0xc4ee,0xc4ef,0xc4f0,0xccd3",19,0,EXCEPTION (documented literal rewrite),"direct_dynamic (BizHawk C4E1-C4F0 tilemap read during German release-refusal dialogue, 2026-08-12 runtime session; see evidence/proposed_dynamic_tests.md '## 81978'); 0xH00ccd3 gate confirmed IDENTICAL_ADDRESS/high-confidence direct_symbol_match in ra_address_triage.csv (ROM offset 0xc9e, bank 0, identical opcode+operand bytes in both ROMs); trailing S1056=105 unshifted/copied verbatim from Italian's/French's identical override row (not a WRAM literal, no version-specific evidence of its own)"
82089,achievement,"Look, I'm Dancing!","0xcfc3,0xd056,0xd35d,0xd437,0xd6ff","0xcfc8,0xd05b,0xd362,0xd43c,0xd704",10,10,RELOCATED,
175,leaderboard,Speedrun,"0xd355,0xd35d,0xd5a1,0xd71a","0xd35a,0xd362,0xd5a6,0xd71f",10,14,RELOCATED,
5170,leaderboard,Pikachu’s Beach,"0xc5d1,0xc5dc,0xd35a,0xd35d","0xc5d1,0xc5dc,0xd35f,0xd362",7,3,RELOCATED,
