address,region,n_assets,n_conditions,usage_types,access_forms,sizes,prior_mapping_status,has_code_note,code_note_excerpt,english_symbol,symbol_source,italian_address,classification,rom_evidence,compared_literals,sample_assets,resolution_method
0xd2f7,WRAM,2,17,achievement;rich_presence,current;delta,bit4;bit5;bit6;bitcount,UNMAPPED,True,b0-Blastoise b1-Caterpie b2-Metapod b3-Butterfree b4-Weedle b5-Kakuna b6-Beedrill b7-Pidgey,wPokedexOwned+1,nearest_symbol,0xd2fc,RELOCATED,"structural inference: base symbol wPokedexOwned is RELOCATED (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 1 applied unverified, not independently confirmed",,Gotta Catch 'em All - Yellow;Rich Presence,structural_inference
0xd2f8,WRAM,2,13,achievement;rich_presence,current;delta,bit6;bit7;bitcount,UNMAPPED,True,b0-Pidgeotto b1-Pidgeot b2-Rattata b3-Raticate b4-Spearow b5-Fearow b6-Ekans b7-Arbok,wPokedexOwned+2,nearest_symbol,0xd2fd,RELOCATED,"structural inference: base symbol wPokedexOwned is RELOCATED (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 2 applied unverified, not independently confirmed",,Gotta Catch 'em All - Yellow;Rich Presence,structural_inference
0xd2f9,WRAM,2,9,achievement;rich_presence,current;delta,bit1;bitcount,UNMAPPED,True,b0-Pikachu b1-Raichu b2-Sandshrew b3-Sandslash b4-NidoranF b5-Nidorina b6-Nidoqueen b7-NidoranM,wPokedexOwned+3,nearest_symbol,0xd2f9,IDENTICAL,ROM offset 0x35dd1 (bank 13): identical opcode+operand bytes eaf9d2 in both ROMs,,Gotta Catch 'em All - Yellow;Rich Presence,direct_rom_evidence
0xd2fa,WRAM,2,5,achievement;rich_presence,current;delta,bitcount,UNMAPPED,True,b0-Nidorino b1-Nidoking b2-Clefairy b3-Clefable b4-Vulpix b5-Nintetales b6-Jigglypuff b7-Wigglytuff,wPokedexOwned+4,nearest_symbol,0xd2ff,RELOCATED,"structural inference: base symbol wPokedexOwned is RELOCATED (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 4 applied unverified, not independently confirmed",,Gotta Catch 'em All - Yellow;Rich Presence,structural_inference
0xd2fb,WRAM,2,5,achievement;rich_presence,current;delta,bitcount,UNMAPPED,True,b0-Zubat b1-Golbat b2-Oddish b3-Gloom b4-Vileplume b5-Paras b6-Parasect b7-Venonat,wPokedexOwned+5,nearest_symbol,0xd300,RELOCATED,"dynamically confirmed: BizHawk watch of Italian 0xd300 across encountering then catching Venonat (#48, zero-based dex index 47, byte offset 5 bit7, mask 0x80) read 0x00 before capture and 0x80 (bit7 set) after capture, matching the game's own Pokédex Owned display and owned-count increment (6->7); supersedes the earlier structural-inference-only status for this specific offset — the +5 mapping for the wPokedexOwned array's other offsets remains structural inference, not independently re-verified by this test",,Gotta Catch 'em All - Yellow;Rich Presence,dynamic_confirmation
0xd2fc,WRAM,2,13,achievement;rich_presence,current;delta,bit3;bit4;bitcount,UNMAPPED,True,b0-Venomoth b1-Diglett b2-Dugtrio b3-Meowth b4-Persian b5-Psyduck b6-Golduck b7-Mankey,wPokedexOwned+6,nearest_symbol,0xd301,RELOCATED,"structural inference: base symbol wPokedexOwned is RELOCATED (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 6 applied unverified, not independently confirmed",,Gotta Catch 'em All - Yellow;Rich Presence,structural_inference
0xd2fd,WRAM,2,5,achievement;rich_presence,current;delta,bitcount,UNMAPPED,True,b0-Primeape b1-Growlithe b2-Arcanine b3-Poliwag b4-Poliwhirl b5-Poliwrath b6-Abra b7-Kadabra,wPokedexOwned+7,nearest_symbol,0xd302,RELOCATED,"structural inference: base symbol wPokedexOwned is RELOCATED (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 7 applied unverified, not independently confirmed",,Gotta Catch 'em All - Yellow;Rich Presence,structural_inference
0xd2fe,WRAM,2,9,achievement;rich_presence,current;delta,bit0;bitcount,UNMAPPED,True,b0-Alakazam b1-Machop b2-Machoke b3-Machamp b4-Bellsprout b5-Weepinbell b6-Victreebel b7-Tentacool,wPokedexOwned+8,nearest_symbol,0xd303,RELOCATED,"structural inference: base symbol wPokedexOwned is RELOCATED (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 8 applied unverified, not independently confirmed",,Gotta Catch 'em All - Yellow;Rich Presence,structural_inference
0xd2ff,WRAM,2,9,achievement;rich_presence,current;delta,bit3;bitcount,UNMAPPED,True,b0-Tentacruel b1-Geodude b2-Graveler b3-Golem b4-Ponyta b5-Rapidash b6-Slowpoke b7-Slowbro,wPokedexOwned+9,nearest_symbol,0xd2ff,IDENTICAL,ROM offset 0x187f2 (bank 6): identical opcode+operand bytes 21ffd2 in both ROMs,,Gotta Catch 'em All - Yellow;Rich Presence,direct_rom_evidence
0xd300,WRAM,2,5,achievement;rich_presence,current;delta,bitcount,UNMAPPED,True,b0-Magnemite b1-Magneton b2-Farfetch'd b3-Doduo b4-Dodrio b5-Seel b6-Dewgong b7-Grimer,wPokedexOwned+10,nearest_symbol,0xd300,IDENTICAL,ROM offset 0x54b39 (bank 21): identical opcode+operand bytes 1100d3 in both ROMs,,Gotta Catch 'em All - Yellow;Rich Presence,direct_rom_evidence
0xd301,WRAM,2,9,achievement;rich_presence,current;delta,bit5;bitcount,UNMAPPED,True,b0-Muk b1-Shellder b2-Cloyster b3-Gastly b4-Haunter b5-Gengar b6-Onix b7-Drowzee,wPokedexOwned+11,nearest_symbol,0xd306,RELOCATED,"structural inference: base symbol wPokedexOwned is RELOCATED (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 11 applied unverified, not independently confirmed",,Gotta Catch 'em All - Yellow;Rich Presence,structural_inference
0xd302,WRAM,2,5,achievement;rich_presence,current;delta,bitcount,UNMAPPED,True,b0-Hypno b1-Krabby b2-Kingler b3-Voltorb b4-Electrode b5-Exeggcute b6-Exeggutor b7-Cubone,wPokedexOwned+12,nearest_symbol,0xd307,RELOCATED,"structural inference: base symbol wPokedexOwned is RELOCATED (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 12 applied unverified, not independently confirmed",,Gotta Catch 'em All - Yellow;Rich Presence,structural_inference
0xd303,WRAM,2,13,achievement;rich_presence,current;delta,bit4;bit5;bitcount,UNMAPPED,True,b0-Marowak b1-Hitmonlee b2-Hitmonchan b3-Lickitung b4-Koffing b5-Weezing b6-Rhyhorn b7-Rhydon,wPokedexOwned+13,nearest_symbol,0xd308,RELOCATED,"dynamically confirmed via Phase 8 end-to-end local-achievement test (docs/status.md): catching Hitmonlee (#106, zero-based dex index 105, byte offset 13, bit1, mask 0x02) as the Fighting Dojo prize triggered a local achievement watching Italian 0xd308 bit1, not this address -- the same coincidental-same-address-match failure mode already seen elsewhere in this project (wPartyMon1Moves, wEventFlags+145, wCompletedInGameTradeFlags, wEventFlags+233): the opcode+operand bytes at ROM offset 0x19f52 (bank 6) matching in both ROMs was a coincidence, not evidence this address is unshifted. Rejects the prior IDENTICAL classification; supersedes it with the dynamically-confirmed +5 relocated address -- the +5 mapping for the wPokedexOwned array's other offsets remains structural inference, not independently re-verified by this test",,Gotta Catch 'em All - Yellow;Rich Presence,dynamic_confirmation
0xd304,WRAM,2,5,achievement;rich_presence,current;delta,bitcount,UNMAPPED,True,b0-Chansey b1-Tangela b2-Kangaskhan b3-Horsea b4-Seadra b5-Goldeen b6-Seaking b7-Staryu,wPokedexOwned+14,nearest_symbol,0xd309,RELOCATED,"structural inference: base symbol wPokedexOwned is RELOCATED (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 14 applied unverified, not independently confirmed",,Gotta Catch 'em All - Yellow;Rich Presence,structural_inference
0xd305,WRAM,2,17,achievement;rich_presence,current;delta,bit3;bit4;bit5;bitcount,UNMAPPED,True,b0-Starmie b1-Mr. Mime b2-Scyther b3-Jynx b4-Electabuzz b5-Magmar b6-Pinsir b7-Tauros,wPokedexOwned+15,nearest_symbol,0xd30a,RELOCATED,"structural inference: base symbol wPokedexOwned is RELOCATED (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 15 applied unverified, not independently confirmed",,Gotta Catch 'em All - Yellow;Rich Presence,structural_inference
0xd306,WRAM,2,5,achievement;rich_presence,current;delta,bitcount,UNMAPPED,True,b0-Magikarp b1-Gyarados b2-Lapras b3-Ditto b4-Eevee b5-Vaporeon b6-Jolteon b7-Flareon,wPokedexOwned+16,nearest_symbol,0xd30b,RELOCATED,"structural inference: base symbol wPokedexOwned is RELOCATED (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 16 applied unverified, not independently confirmed",,Gotta Catch 'em All - Yellow;Rich Presence,structural_inference
0xd737,WRAM,2,4,achievement,current;delta,bit0;bit1,UNMAPPED,True,Trade List - Bitflags Bit0 = Growlithe for Dewgong Bit1 = Cubone for Machoke,wCompletedInGameTradeFlags+2(past declared size 2),nearest_symbol,0xd73c,RELOCATED,"dynamically confirmed: BizHawk WRAM 0x173C went 0x00->0x02 (bit1 set) at the moment the Cubone-for-Machoke trade completed, matching the Code Note's bit1 exactly; range-watched 0x1730-0x174F with no other bit in range changing at that moment",King of Fighters:=1; King of Fighters:=0; Saved a Trip to the Islands!:=1,King of Fighters;Saved a Trip to the Islands!,dynamic_confirmation
0xd7ea,WRAM,2,4,achievement,current;delta,bit5;bit6,UNMAPPED,True,Route 22 Bit5 = Defeat Rival 2 Bit6 = Defeat Rival 7,wEventFlags+165,nearest_symbol,0xd7ef,RELOCATED,"ROM offset 0x1c879 (bank 7): same opcode (0x21) at the same site, operand changed from 0xd7ea to 0xd7ef",Smell You Later!:=1; Smell You Later!:=0; Gatekeeper of Victory Road:=1,Gatekeeper of Victory Road;Smell You Later!,direct_rom_evidence
0xc2f4,WRAM,1,1,achievement,current,8-bit,IDENTICAL_ADDRESS,True,Pikachu Y,wSpritePikachuStateData2MapY,phase4_symbol,0xc2f4,IDENTICAL,resolved by Phase 4 (address_mapping.csv),Clefairy Used Attract:=9,Clefairy Used Attract,direct_rom_evidence
0xc2f5,WRAM,1,1,achievement,current,8-bit,IDENTICAL_ADDRESS,True,Pikachu X,wSpritePikachuStateData2MapX,phase4_symbol,0xc2f5,IDENTICAL,resolved by Phase 4 (address_mapping.csv),Clefairy Used Attract:=10,Clefairy Used Attract,direct_rom_evidence
0xc4e1,WRAM,1,1,achievement,current,8-bit,UNMAPPED,True,Second Line of Text Box,wTileMap+321,nearest_symbol,0xc4e1,IDENTICAL,ROM offset 0x1748 (bank 0): identical opcode+operand bytes 21e1c4 in both ROMs,You're Not Getting Away from Me That Easily:=180,You're Not Getting Away from Me That Easily,direct_rom_evidence
0xc4e2,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+322,nearest_symbol,0xc4e2,IDENTICAL,ROM offset 0xe4c95 (bank 57): identical opcode+operand bytes 11e2c4 in both ROMs,You're Not Getting Away from Me That Easily:=173,You're Not Getting Away from Me That Easily,direct_rom_evidence
0xc4e3,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+323,nearest_symbol,0xc4e3,IDENTICAL,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 323 applied unverified, not independently confirmed",You're Not Getting Away from Me That Easily:=167,You're Not Getting Away from Me That Easily,structural_inference
0xc4e4,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+324,nearest_symbol,0xc4e4,IDENTICAL,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 324 applied unverified, not independently confirmed",You're Not Getting Away from Me That Easily:=160,You're Not Getting Away from Me That Easily,structural_inference
0xc4e5,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+325,nearest_symbol,0xc4e5,IDENTICAL,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 325 applied unverified, not independently confirmed",You're Not Getting Away from Me That Easily:=175,You're Not Getting Away from Me That Easily,structural_inference
0xc4e6,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+326,nearest_symbol,0xc4e6,IDENTICAL,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 326 applied unverified, not independently confirmed",You're Not Getting Away from Me That Easily:=175,You're Not Getting Away from Me That Easily,structural_inference
0xc4e7,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+327,nearest_symbol,0xc4e7,IDENTICAL,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 327 applied unverified, not independently confirmed",You're Not Getting Away from Me That Easily:=184,You're Not Getting Away from Me That Easily,structural_inference
0xc4e8,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+328,nearest_symbol,0xc4e8,IDENTICAL,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 328 applied unverified, not independently confirmed",You're Not Getting Away from Me That Easily:=127,You're Not Getting Away from Me That Easily,structural_inference
0xc4e9,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+329,nearest_symbol,0xc4e7,RELOCATED,"ROM offset 0x3cfd6 (bank 15): same opcode (0x21) at the same site, operand changed from 0xc4e9 to 0xc4e7",You're Not Getting Away from Me That Easily:=160,You're Not Getting Away from Me That Easily,direct_rom_evidence
0xc4ea,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+330,nearest_symbol,0xc9ea,RELOCATED,"ROM offset 0x3b5 (bank 0): same opcode (0x08) at the same site, operand changed from 0xc4ea to 0xc9ea",You're Not Getting Away from Me That Easily:=161,You're Not Getting Away from Me That Easily,direct_rom_evidence
0xc4eb,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+331,nearest_symbol,0xc4eb,IDENTICAL,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 331 applied unverified, not independently confirmed",You're Not Getting Away from Me That Easily:=174,You're Not Getting Away from Me That Easily,structural_inference
0xc4ec,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+332,nearest_symbol,0xc4ec,IDENTICAL,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 332 applied unverified, not independently confirmed",You're Not Getting Away from Me That Easily:=180,You're Not Getting Away from Me That Easily,structural_inference
0xc4ed,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+333,nearest_symbol,0xc4ed,IDENTICAL,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 333 applied unverified, not independently confirmed",You're Not Getting Away from Me That Easily:=179,You're Not Getting Away from Me That Easily,structural_inference
0xc4ee,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+334,nearest_symbol,0xc4ee,IDENTICAL,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 334 applied unverified, not independently confirmed",You're Not Getting Away from Me That Easily:=127,You're Not Getting Away from Me That Easily,structural_inference
0xc4ef,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+335,nearest_symbol,0xc4ef,IDENTICAL,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 335 applied unverified, not independently confirmed",You're Not Getting Away from Me That Easily:=168,You're Not Getting Away from Me That Easily,structural_inference
0xc4f0,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+336,nearest_symbol,0xc4f0,IDENTICAL,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 336 applied unverified, not independently confirmed",You're Not Getting Away from Me That Easily:=179,You're Not Getting Away from Me That Easily,structural_inference
0xc4f1,WRAM,1,1,achievement,current,8-bit,UNMAPPED,False,,wTileMap+337,nearest_symbol,0xc4f1,IDENTICAL,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 337 applied unverified, not independently confirmed",You're Not Getting Away from Me That Easily:=231,You're Not Getting Away from Me That Easily,structural_inference
0xc5d1,WRAM,1,2,leaderboard,current,8-bit,IDENTICAL_ADDRESS,False,,wSurfingMinigameRoutineNumber,phase4_symbol,0xc5d1,IDENTICAL,resolved by Phase 4 (address_mapping.csv),Pikachu’s Beach:=5,Pikachu’s Beach,direct_rom_evidence
0xc5dc,WRAM,1,1,leaderboard,bcd,8-bit,IDENTICAL_ADDRESS,False,,wSurfingMinigameTotalScore,phase4_symbol,0xc5dc,IDENTICAL,resolved by Phase 4 (address_mapping.csv),,Pikachu’s Beach,direct_rom_evidence
