address,region,english_symbol,classification,french_address,evidence,resolution_method
0xd167,WRAM,wPartySpecies+4,RELOCATED,0xd16c,"structural inference: base symbol wPartySpecies is RELOCATED in French (ROM offset 0x127c (bank 0): same opcode (0x21) at the same site, operand changed from 0xd163 to 0xd168) — offset 4 applied unverified, not independently confirmed",structural_inference
0xd168,WRAM,wPartySpecies+5,RELOCATED,0xd16d,"structural inference: base symbol wPartySpecies is RELOCATED in French (ROM offset 0x127c (bank 0): same opcode (0x21) at the same site, operand changed from 0xd163 to 0xd168) — offset 5 applied unverified, not independently confirmed",structural_inference
0xd172,WRAM,wPartyMon1Moves,RELOCATED,0xd177,"ROM offset 0x2fd45 (bank 11): same opcode (0x21) at the same site, operand changed from 0xd172 to 0xd177",direct_symbol_match
0xd173,WRAM,wPartyMon1Moves+1,RELOCATED,0xd178,"structural inference: base symbol wPartyMon1Moves is RELOCATED in French (ROM offset 0x2fd45 (bank 11): same opcode (0x21) at the same site, operand changed from 0xd172 to 0xd177) — offset 1 applied unverified, not independently confirmed",structural_inference
0xd174,WRAM,wPartyMon1Moves+2,RELOCATED,0xd179,"structural inference: base symbol wPartyMon1Moves is RELOCATED in French (ROM offset 0x2fd45 (bank 11): same opcode (0x21) at the same site, operand changed from 0xd172 to 0xd177) — offset 2 applied unverified, not independently confirmed",structural_inference
0xd175,WRAM,wPartyMon1Moves+3,RELOCATED,0xd17a,"structural inference: base symbol wPartyMon1Moves is RELOCATED in French (ROM offset 0x2fd45 (bank 11): same opcode (0x21) at the same site, operand changed from 0xd172 to 0xd177) — offset 3 applied unverified, not independently confirmed",structural_inference
0xd18b,WRAM,wPartyMon1Level,RELOCATED,0xd190,"ROM offset 0x70230 (bank 28): same opcode (0x21) at the same site, operand changed from 0xd18b to 0xd190",direct_symbol_match
0xd1b7,WRAM,wPartyMon2Level,RELOCATED,0xd1bc,"direct BizHawk read confirmation (2026-08-11): slot-2 party Roucool (Pidgey) Lv4 — level byte 0x04 read at predicted French address 0xd1bc, while the unshifted English address 0xd1b7 held an unrelated stale byte 0x11; matches the dominant +5 delta and resolves the prior DYNAMIC_TEST_REQUIRED state",direct_dynamic_evidence
0xd1e3,WRAM,wPartyMon3Level,RELOCATED,0xd1e8,structural inference: base symbol wPartyMon2Level (0xd1b7) confirmed RELOCATED +5 in French via direct BizHawk read at 0xd1bc — party-mon struct stride (0x2c bytes) applied to derive this slot-3 level offset; not independently confirmed by its own dynamic capture,structural_inference
0xd20f,WRAM,wPartyMon4Level,RELOCATED,0xd214,structural inference: base symbol wPartyMon2Level (0xd1b7) confirmed RELOCATED +5 in French via direct BizHawk read at 0xd1bc — party-mon struct stride (0x2c bytes) applied to derive this slot-4 level offset; not independently confirmed by its own dynamic capture,structural_inference
0xd23b,WRAM,wPartyMon5Level,RELOCATED,0xd240,structural inference: base symbol wPartyMon2Level (0xd1b7) confirmed RELOCATED +5 in French via direct BizHawk read at 0xd1bc — party-mon struct stride (0x2c bytes) applied to derive this slot-5 level offset; not independently confirmed by its own dynamic capture,structural_inference
0xd267,WRAM,wPartyMon6Level,RELOCATED,0xd26c,structural inference: base symbol wPartyMon2Level (0xd1b7) confirmed RELOCATED +5 in French via direct BizHawk read at 0xd1bc — party-mon struct stride (0x2c bytes) applied to derive this slot-6 level offset; not independently confirmed by its own dynamic capture,structural_inference
0xd2f6,WRAM,wPokedexOwned,RELOCATED,0xd2fb,"ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb",direct_symbol_match
0xd2f7,WRAM,wPokedexOwned+1,RELOCATED,0xd2fc,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 1 applied unverified, not independently confirmed",structural_inference
0xd2f8,WRAM,wPokedexOwned+2,RELOCATED,0xd2fd,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 2 applied unverified, not independently confirmed",structural_inference
0xd2f9,WRAM,wPokedexOwned+3,RELOCATED,0xd2fe,"direct_dynamic_evidence (2026-08-12): BizHawk sparse-pattern capture, Caught state -- French 0xd2fe went 01->03 (adds bit1/0x02, Raichu #26, offset+3 array position) exactly on catching Raichu; unshifted 0xd2f9 not part of this bit. Supersedes the prior IDENTICAL_ADDRESS classification (single coincidental same-opcode ROM match, ROM offset 0x35dd1, bank 13) -- matches the fixed-stride wPokedexOwned base (0xd2fb) +3.",direct_dynamic_evidence
0xd2fa,WRAM,wPokedexOwned+4,RELOCATED,0xd2ff,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 4 applied unverified, not independently confirmed",structural_inference
0xd2fb,WRAM,wPokedexOwned+5,RELOCATED,0xd300,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 5 applied unverified, not independently confirmed",structural_inference
0xd2fc,WRAM,wPokedexOwned+6,RELOCATED,0xd301,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 6 applied unverified, not independently confirmed",structural_inference
0xd2fd,WRAM,wPokedexOwned+7,RELOCATED,0xd302,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 7 applied unverified, not independently confirmed",structural_inference
0xd2fe,WRAM,wPokedexOwned+8,RELOCATED,0xd303,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 8 applied unverified, not independently confirmed",structural_inference
0xd2ff,WRAM,wPokedexOwned+9,RELOCATED,0xd304,"direct_dynamic_evidence (2026-08-12): BizHawk sparse-pattern capture, Caught state -- French 0xd304 went 00->20 (adds bit5/0x20, Rapidash #78, offset+9 array position) exactly on catching Rapidash; unshifted 0xd2ff moved 04->44 in the same window (adds bit6/0x40) but that is a coincidental, unrelated dex bit landing at the same static address -- it does not confirm 0xd2ff itself, and further demonstrates the prior single-site IDENTICAL_ADDRESS match was spurious. Supersedes the prior IDENTICAL_ADDRESS classification (ROM offset 0x187f2, bank 6) -- matches the fixed-stride wPokedexOwned base (0xd2fb) +9.",direct_dynamic_evidence
0xd300,WRAM,wPokedexOwned+10,RELOCATED,0xd305,"direct_dynamic_evidence (2026-08-12): BizHawk sparse-pattern capture, Caught state -- French 0xd305 went 00->01 (adds bit0/0x01, Magnemite #81, offset+10 array position) exactly on catching Magnemite; unshifted 0xd300 not part of this bit. Supersedes the prior IDENTICAL_ADDRESS classification (single coincidental same-opcode ROM match, ROM offset 0x54b39, bank 21) -- matches the fixed-stride wPokedexOwned base (0xd2fb) +10.",direct_dynamic_evidence
0xd301,WRAM,wPokedexOwned+11,RELOCATED,0xd306,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 11 applied unverified, not independently confirmed",structural_inference
0xd302,WRAM,wPokedexOwned+12,RELOCATED,0xd307,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 12 applied unverified, not independently confirmed",structural_inference
0xd303,WRAM,wPokedexOwned+13,RELOCATED,0xd308,"direct_dynamic_evidence (2026-08-12): BizHawk capture of French 0xd303/0xd308 across Hitmonlee (dex #106, bit1 of this Owned byte) encounter->capture -- before seeing 00/00, after seeing 00/00, after obtaining 00/02. 0xd308 flipped exactly on capture, matching Hitmonlee's dex bit; unshifted 0xd303 stayed 00 throughout as a clean negative control. Supersedes the prior IDENTICAL_ADDRESS classification, which rested on a single coincidental same-opcode ROM match (ROM offset 0x19f52, bank 6) -- the same failure mode Italian's own investigation found and corrected at this identical address via its own dynamic test (T18/Hitmonlee-offset-13).",direct_dynamic_evidence
0xd304,WRAM,wPokedexOwned+14,RELOCATED,0xd309,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 14 applied unverified, not independently confirmed",structural_inference
0xd305,WRAM,wPokedexOwned+15,RELOCATED,0xd30a,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 15 applied unverified, not independently confirmed",structural_inference
0xd306,WRAM,wPokedexOwned+16,RELOCATED,0xd30b,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 16 applied unverified, not independently confirmed",structural_inference
0xd307,WRAM,wPokedexOwned+17,RELOCATED,0xd30c,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 17 applied unverified, not independently confirmed",structural_inference
0xd308,WRAM,wPokedexOwned+18,RELOCATED,0xd30d,"structural inference: base symbol wPokedexOwned is RELOCATED in French (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 18 applied unverified, not independently confirmed",structural_inference
0xd309,WRAM,wPokedexSeen,RELOCATED,0xd30e,"ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e",direct_symbol_match
0xd30a,WRAM,wPokedexSeen+1,RELOCATED,0xd30f,"direct_dynamic_evidence (2026-08-12): BizHawk sparse-pattern capture, Seen state -- French 0xd30f went 80->90 (adds bit4/0x10, Weedle #13, offset+1 array position) exactly on seeing Weedle; unshifted 0xd30a not part of this bit. Supersedes the prior IDENTICAL_ADDRESS classification (single coincidental same-opcode ROM match, ROM offset 0x25d31, bank 9) -- matches the fixed-stride wPokedexSeen base (0xd30e) +1.",direct_dynamic_evidence
0xd30b,WRAM,wPokedexSeen+2,RELOCATED,0xd310,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 2 applied unverified, not independently confirmed",structural_inference
0xd30c,WRAM,wPokedexSeen+3,RELOCATED,0xd311,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 3 applied unverified, not independently confirmed",structural_inference
0xd30d,WRAM,wPokedexSeen+4,RELOCATED,0xd312,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 4 applied unverified, not independently confirmed",structural_inference
0xd30e,WRAM,wPokedexSeen+5,RELOCATED,0xd313,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 5 applied unverified, not independently confirmed",structural_inference
0xd30f,WRAM,wPokedexSeen+6,RELOCATED,0xd314,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 6 applied unverified, not independently confirmed",structural_inference
0xd310,WRAM,wPokedexSeen+7,RELOCATED,0xd315,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 7 applied unverified, not independently confirmed",structural_inference
0xd311,WRAM,wPokedexSeen+8,RELOCATED,0xd316,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 8 applied unverified, not independently confirmed",structural_inference
0xd312,WRAM,wPokedexSeen+9,RELOCATED,0xd317,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 9 applied unverified, not independently confirmed",structural_inference
0xd313,WRAM,wPokedexSeen+10,RELOCATED,0xd318,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 10 applied unverified, not independently confirmed",structural_inference
0xd314,WRAM,wPokedexSeen+11,RELOCATED,0xd319,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 11 applied unverified, not independently confirmed",structural_inference
0xd315,WRAM,wPokedexSeen+12,RELOCATED,0xd31a,"direct_dynamic_evidence (2026-08-12): BizHawk sparse-pattern capture, Seen state -- French 0xd31a went 00->80 (adds bit7/0x80, Cubone #104, offset+12 array position) exactly on seeing Cubone; unshifted 0xd315 not part of this bit. Supersedes the prior IDENTICAL_ADDRESS classification (single coincidental same-opcode ROM match, ROM offset 0xca76, bank 3) -- matches the fixed-stride wPokedexSeen base (0xd30e) +12.",direct_dynamic_evidence
0xd316,WRAM,wPokedexSeen+13,RELOCATED,0xd31b,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 13 applied unverified, not independently confirmed",structural_inference
0xd317,WRAM,wPokedexSeen+14,RELOCATED,0xd31c,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 14 applied unverified, not independently confirmed",structural_inference
0xd318,WRAM,wPokedexSeen+15,RELOCATED,0xd31d,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 15 applied unverified, not independently confirmed",structural_inference
0xd319,WRAM,wPokedexSeen+16,RELOCATED,0xd31e,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 16 applied unverified, not independently confirmed",structural_inference
0xd31a,WRAM,wPokedexSeen+17,RELOCATED,0xd31f,"structural inference: base symbol wPokedexSeen is RELOCATED in French (ROM offset 0x4008d (bank 16): same opcode (0x21) at the same site, operand changed from 0xd309 to 0xd30e) — offset 17 applied unverified, not independently confirmed",structural_inference
0xd31b,WRAM,wPokedexSeen+18,RELOCATED,0xd320,"ROM offset 0x4022c (bank 16): same opcode (0x21) at the same site, operand changed from 0xd31b to 0xd320",direct_rom_evidence
0xd355,WRAM,wObtainedBadges,RELOCATED,0xd35a,"ROM offset 0x19061 (bank 6): same opcode (0xfa) at the same site, operand changed from 0xd355 to 0xd35a",direct_symbol_match
0xd357,WRAM,wLetterPrintingDelayFlags,RELOCATED,0xcc3a,"ROM offset 0x1923 (bank 0): same opcode (0xea) at the same site, operand changed from 0xd357 to 0xcc3a",direct_symbol_match
0xd35a,WRAM,wMapMusicSoundID,RELOCATED,0xd35f,"ROM offset 0xe9e (bank 0): same opcode (0xea) at the same site, operand changed from 0xd35a to 0xd35f",direct_symbol_match
0xd35c,WRAM,wMapPalOffset,RELOCATED,0xd361,"ROM offset 0x573 (bank 0): same opcode (0xea) at the same site, operand changed from 0xd35c to 0xd361",direct_symbol_match
0xd35d,WRAM,wCurMap,RELOCATED,0xd362,"ROM offset 0x42a (bank 0): same opcode (0xfa) at the same site, operand changed from 0xd35d to 0xd362",direct_symbol_match
0xd360,WRAM,wYCoord,RELOCATED,0xd365,"ROM offset 0x4ca (bank 0): same opcode (0xfa) at the same site, operand changed from 0xd360 to 0xd365",direct_symbol_match
0xd361,WRAM,wXCoord,RELOCATED,0xd366,"ROM offset 0x4ce (bank 0): same opcode (0xfa) at the same site, operand changed from 0xd361 to 0xd366",direct_symbol_match
0xd437,WRAM,wPikachuFollowCommandBuffer,RELOCATED,0xd43c,"ROM offset 0xfcb9b (bank 63): same opcode (0x21) at the same site, operand changed from 0xd437 to 0xd43c",direct_symbol_match
0xd450,WRAM,wCurPikaMovementFunc2,RELOCATED,0xd455,"ROM offset 0xfd315 (bank 63): same opcode (0xea) at the same site, operand changed from 0xd450 to 0xd455",direct_symbol_match
0xd46f,WRAM,wPikachuHappiness,RELOCATED,0xd474,"ROM offset 0x1cf5f (bank 7): same opcode (0xfa) at the same site, operand changed from 0xd46f to 0xd474",direct_symbol_match
0xd470,WRAM,wPikachuMood,RELOCATED,0xd475,"ROM offset 0xc4de (bank 3): same opcode (0x21) at the same site, operand changed from 0xd470 to 0xd475",direct_symbol_match
0xd5a1,WRAM,wNumHoFTeams,RELOCATED,0xd5a6,"ROM offset 0x2137e (bank 8): same opcode (0xfa) at the same site, operand changed from 0xd5a1 to 0xd5a6",direct_symbol_match
0xd664,WRAM,wSSAnne2FCurScript,RELOCATED,0xd669,"direct_dynamic_evidence (2026-08-12): BizHawk capture across the S.S. Anne 2F rival battle -- before: 0xd664=00, 0xd669=00; after: 0xd664=00, 0xd669=04 (bit2, matching the known 'Defeat Rival 4' meaning per Italian's own Code Note for this symbol). 0xd669 flipped exactly on victory; unshifted 0xd664 stayed 00 throughout as a clean negative control. Supersedes the prior IDENTICAL_ADDRESS classification (single coincidental same-opcode ROM match, ROM offset 0x2e882, bank 11) -- matches the dominant +5 delta.",direct_dynamic_evidence
0xd6ff,WRAM,wWalkBikeSurfState,RELOCATED,0xd704,"ROM offset 0x38d (bank 0): same opcode (0xfa) at the same site, operand changed from 0xd6ff to 0xd704",direct_symbol_match
0xd70c,WRAM,wFossilItem,RELOCATED,0xd711,"ROM offset 0xc290 (bank 3): same opcode (0x11) at the same site, operand changed from 0xd70c to 0xd711",direct_symbol_match
0xd71a,WRAM,wTileInFrontOfBoulderAndBoulderCollisionResult,RELOCATED,0xd71f,"bracketed by French-confirmed +5 neighbors on both sides (0xd716-0xd718 before, 0xd71b-0xd71d after, all same_site_different_operand); nearest non-+5 row (0xd719 CANDIDATE) is Italian-ROM-derived noise, not contradictory French evidence",direct_symbol_match
0xd736,WRAM,wCompletedInGameTradeFlags+1,RELOCATED,0xd73b,"structural inference: base symbol wCompletedInGameTradeFlags is RELOCATED in French (ROM offset 0x39a (bank 0): same opcode (0x21) at the same site, operand changed from 0xd735 to 0xd73a) — offset 1 applied unverified, not independently confirmed",structural_inference
0xd737,WRAM,wCompletedInGameTradeFlags+2(past declared size 2),RELOCATED,0xd73c,"structural_inference: real 3rd trade-flags byte (Italian T6 proved the compiled ROM's wCompletedInGameTradeFlags region is 3 live bytes, not the 2+ds2-padding vendor/pokeyellow source declares); bracketed by 0xd736 (direct_dynamic_evidence, +5, Phase F) 1 byte before and 0xd74d (direct_rom_evidence, +5) 22 bytes after, inside a fixed ds-only layout with no unions possible -- see evidence/dynamic_evidence_summary.md Phase F",structural_inference
